NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_1;MES_2;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
>10;0;<24, 48];Febrero;431.9;431.9;9;PDP  Promesa De Pago;6788.77;BT;2011;CEF;1
<=10;1;<24, 48];Febrero;0;0;10;MCT  Msj Con Terceros;17234.4;BT;2012;CNE;0
>10;0;<24, 48];Febrero;0;0;11;MCF  Msj Con Familiar;21043.5;BT;2012;CNE;1
>10;0;<24, 48];Febrero;427.52;430.3;16;PAR  Promesa Parcial;7528.24;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;277.75;298.98;20;TELF. NO CORRESPONDE;5045.74;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;453.46;127.6;10;MCF  Msj Con Familiar;5117.41;BT;2013;CNE;1
<=10;0;<=24;Febrero;153.95;1029.08;15;MCF  Msj Con Familiar;20908.8;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;17;MCF  Msj Con Familiar;25496;BT;2013;CNE;0
<=10;0;>48;Febrero;386.86;386.96;16;MCF  Msj Con Familiar;9366.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;7;PDP  Promesa De Pago;2911.5;BT;2011;CEF;1
<=10;0;<=24;Febrero;329.04;660.37;18;MCT  Msj Con Terceros;4819.16;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;12;MCT  Msj Con Terceros;22491;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;302.9;301.49;13;MCT  Msj Con Terceros;10598.2;BT;2013;CNE;1
>10;0;<24, 48];Febrero;597.85;199.28;7;MCT  Msj Con Terceros;13789.6;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;435.53;0;17;MCF  Msj Con Familiar;3200.44;BT;2012;CNE;1
>10;0;<=24;Febrero;498.14;0;18;MCF  Msj Con Familiar;735.83;BT;2012;CNE;0
<=10;0;>48;Febrero;0;0;11;MCF  Msj Con Familiar;14740.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;254.53;255.13;11;MCT  Msj Con Terceros;4220.36;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;593.32;314.09;7;MCF  Msj Con Familiar;7548.53;BT;2013;CNE;1
<=10;0;<=24;Febrero;627.27;0;17;TELF. NO CORRESPONDE;622.96;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;323.86;90.39;9;MCT  Msj Con Terceros;6622.64;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;9;TAT sin contacto con Titular;11320.4;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;8;MCT  Msj Con Terceros;6637.15;BT;2013;CNE;0
>10;0;<24, 48];Febrero;0;482.56;9;MCT  Msj Con Terceros;9774.2;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;9;MCT  Msj Con Terceros;15526.9;BT;2013;CNE;1
<=10;0;>48;Febrero;692.48;0;10;PDP  Promesa De Pago;26855.7;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;12;TELF. NO CORRESPONDE;3317.9;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;266.16;16.16;8;MCF  Msj Con Familiar;4034.15;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;111.07;111.35;10;MCT  Msj Con Terceros;1930.3;BT;2013;CNE;1
>10;0;<24, 48];Febrero;181.16;181.13;12;MCF  Msj Con Familiar;1371.47;BT;2011;CNE;1
<=10;1;<=24;Febrero;0;311.3;18;PDP  Promesa De Pago;2580.83;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0.04;150.61;16;TELF. NO CORRESPONDE;2718.45;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;11;MCT  Msj Con Terceros;4792.9;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;383.59;0;7;MCT  Msj Con Terceros;3136.07;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;395.04;15;MCT  Msj Con Terceros;10288.4;BT;2013;CNE;1
>10;0;<=24;Febrero;0;0;9;PDP  Promesa De Pago;883.54;BT;2012;CEF;1
>10;0;<24, 48];Febrero;499.77;353;11;PDP  Promesa De Pago;7909.25;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;208.97;12;MCT  Msj Con Terceros;13814.1;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;10;MCF  Msj Con Familiar;2299.7;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;1585.57;1585.57;14;MCF  Msj Con Familiar;24919.2;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;0;15;PAR  Promesa Parcial;5672.11;BT;2012;CEF;0
>10;0;>48;Febrero;0;346.28;7;TELF. NO CORRESPONDE;5931.44;BT;2011;CNE;1
<=10;0;<=24;Febrero;0;0;10;PDP  Promesa De Pago;2172.12;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;206.71;0;18;IPT  Inbound PDP Total;4139.06;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;17;MCF  Msj Con Familiar;13524.4;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;203.28;0;13;PDP  Promesa De Pago;24859.3;BT;2013;CEF;1
<=10;1;<24, 48];Febrero;0;0;15;PAR  Promesa Parcial;7884.72;BT;2013;CEF;0
<=10;0;<24, 48];Febrero;0;0;19;TELF. NO CORRESPONDE;4512.84;BT;2013;CNE;1
>10;0;<=24;Febrero;707.05;0;9;PDP  Promesa De Pago;3402.82;BT;2012;CEF;1
<=10;0;<=24;Febrero;0;0;7;MCT  Msj Con Terceros;661.4;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;9;MCT  Msj Con Terceros;1511.18;BT;2012;CNE;1
>10;0;<24, 48];Febrero;296.22;96.95;10;PDP  Promesa De Pago;2533.5;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;143.21;7;MCT  Msj Con Terceros;3565.15;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;512.57;462.82;15;TELF. NO CORRESPONDE;14162.7;BT;2012;CNE;1
>10;0;<24, 48];Febrero;175.21;351.24;10;PDP  Promesa De Pago;2780.49;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;482.84;731.49;7;MCT  Msj Con Terceros;4005.4;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;81.89;0;9;MCF  Msj Con Familiar;3951.33;BT;2012;CNE;0
<=10;0;<=24;Febrero;0;0;10;MCT  Msj Con Terceros;8181.44;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;67.54;0;15;PDP  Promesa De Pago;18612.8;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;15;TAT  Tratamiento al Titu;15353;BT;2013;CEF;0
<=10;0;<=24;Febrero;372.68;499.68;12;MCF  Msj Con Familiar;1980.91;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;556.73;558.08;9;PDP  Promesa De Pago;12694.9;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;936.71;936.71;10;TELF. NO CORRESPONDE;4486.3;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;71.88;9;TELF. NO CORRESPONDE;6156.21;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0.1;283.09;15;MCT  Msj Con Terceros;5294.54;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;12;TELF. NO CORRESPONDE;15236.4;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;16;MCT  Msj Con Terceros;9606.32;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0;0;18;MCF  Msj Con Familiar;31197.1;BT;2013;CNE;0
<=10;0;>48;Febrero;0;1127.48;11;CIH  Generar Cita;3955.51;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;217.22;217.35;7;MCT  Msj Con Terceros;4194.62;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;7;MCF  Msj Con Familiar;20301.3;BT;2013;CNE;0
<=10;0;<=24;Febrero;0;184.16;10;MCF  Msj Con Familiar;2561.51;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;547.88;10;MCT  Msj Con Terceros;7346.97;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;18;MCT  Msj Con Terceros;4618.22;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;434.47;213.82;15;MCF  Msj Con Familiar;4780.32;BT;2013;CNE;1
<=10;0;<=24;Febrero;180.43;0;15;MCE  Msj Con Empleada;1105.83;BT;2013;CNE;1
<=10;1;>48;Febrero;1709.8;0;19;MCF  Msj Con Familiar;12065.9;BT;2013;CNE;0
>10;0;>48;Febrero;466.65;470.07;9;TELF. NO CORRESPONDE;11134.4;BT;2012;CNE;1
>10;0;<24, 48];Febrero;11.91;356.21;10;TELF. NO CORRESPONDE;7203.89;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;MCT  Msj Con Terceros;4299.86;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0.87;262.25;16;MCT  Msj Con Terceros;4897.11;BT;2012;CNE;1
>10;0;<24, 48];Febrero;300.7;282.23;12;MCT  Msj Con Terceros;764.06;BT;2011;CNE;1
<=10;0;>48;Febrero;0;154.91;15;MCT  Msj Con Terceros;6187.65;BT;2011;CNE;1
<=10;0;>48;Febrero;936.14;1412.38;12;TELF. NO CORRESPONDE;11204.3;BT;2013;CNE;1
<=10;0;>48;Febrero;1146.83;0;11;CIH  Generar Cita;18131.2;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;10;MCE  Msj Con Empleada;6525.09;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;19;MCT  Msj Con Terceros;6701.29;BT;2013;CNE;0
>10;0;<24, 48];Febrero;0;170.15;10;TELF. NO CORRESPONDE;1893.98;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;245.77;245.48;10;MCF  Msj Con Familiar;5019.1;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;16;MCT  Msj Con Terceros;3089.76;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;19;TELF. NO CORRESPONDE;9051.27;BT;2012;CNE;1
>10;0;<24, 48];Febrero;253.12;0;19;MCF  Msj Con Familiar;2376.08;BT;2011;CNE;1
<=10;0;<=24;Febrero;0;0;12;MCT  Msj Con Terceros;4676.02;BT;2013;CNE;1
<=10;0;<=24;Febrero;321.7;321.96;19;MCC  Msj Con Comp De Trab;5350.06;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;295.27;450.55;12;MCT  Msj Con Terceros;1845.32;BT;2013;CNE;1
<=10;0;>48;Febrero;500.51;870.84;13;MCF  Msj Con Familiar;15670.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;MCF  Msj Con Familiar;2725.16;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;458.87;692.94;12;MCT  Msj Con Terceros;2873.58;BT;2012;CNE;1
>10;0;<24, 48];Febrero;26.63;0;8;TELF. NO CORRESPONDE;1827.33;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;1061.84;541.79;14;TELF. NO CORRESPONDE;14472.7;BT;2013;CNE;1
<=10;0;<=24;Febrero;268.85;405.99;8;MCT  Msj Con Terceros;1940.11;BT;2013;CNE;1
<=10;0;>48;Febrero;0;587.19;16;MCT  Msj Con Terceros;5329.83;BT;2012;CNE;1
>10;0;<24, 48];Febrero;363.45;364.23;14;PDP  Promesa De Pago;4578.39;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;932.41;1407.42;9;MCF  Msj Con Familiar;10708.6;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;530.45;797.93;7;MCF  Msj Con Familiar;5851.34;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;7;TELF. NO CORRESPONDE;14726.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;409.8;1185.3;11;PDP  Promesa De Pago;21552.5;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;114.82;8;MCT  Msj Con Terceros;5897.12;BT;2013;CNE;1
<=10;0;<=24;Febrero;388.5;587.72;12;TELF. NO CORRESPONDE;3093.5;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;64.52;76.12;17;TELF. NO CORRESPONDE;9291.14;BT;2012;CNE;1
<=10;0;<=24;Febrero;0;0;7;MCF  Msj Con Familiar;1429.19;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;9;PDP  Promesa De Pago;4743.23;BT;2013;CEF;1
<=10;0;>48;Febrero;0;0;9;PDP  Promesa De Pago;6355.72;BT;2012;CEF;1
<=10;0;<=24;Febrero;478.44;484.68;11;PDP  Promesa De Pago;944.26;BT;2012;CEF;0
<=10;0;>48;Febrero;0;0;15;MCO  Msj Con Conyuge;8040.9;BT;2012;CEF;1
>10;1;>48;Febrero;0.74;416.88;12;MCT  Msj Con Terceros;5333.37;BT;2011;CNE;1
<=10;0;>48;Febrero;1233.7;0;16;MCT  Msj Con Terceros;19209.6;BT;2013;CNE;1
<=10;1;>48;Febrero;520.72;522.27;14;MCT  Msj Con Terceros;13040.1;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;104.94;0;11;PDP  Promesa De Pago;5054.72;BT;2013;CEF;1
>10;0;>48;Febrero;0;342.66;10;PDP  Promesa De Pago;5994.78;BT;2011;CEF;1
>10;0;<24, 48];Febrero;510.18;510.32;8;PDP  Promesa De Pago;10182.9;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;13;MCF  Msj Con Familiar;6948.07;BT;2013;CNE;1
<=10;0;>48;Febrero;436.71;437.37;10;MCT  Msj Con Terceros;10390;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;269.71;67.06;9;TAT  Tratamiento al Titu;5380.8;BT;2013;CEF;1
<=10;0;<=24;Febrero;0;0;16;MCT  Msj Con Terceros;848.6;BT;2013;CNE;0
>10;0;>48;Febrero;0;0;14;MCT  Msj Con Terceros;7268.04;BT;2012;CNE;0
<=10;0;>48;Febrero;0;0;17;MCF  Msj Con Familiar;11707.5;BT;2011;CNE;0
>10;0;<24, 48];Febrero;0;474.05;15;MCT  Msj Con Terceros;5550.66;BT;2012;CNE;1
<=10;0;<=24;Febrero;622.67;0;7;CIH  Generar Cita;617.3;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;14;MCT  Msj Con Terceros;11550.3;BT;2013;CNE;1
>10;0;>48;Febrero;0;383.57;9;MCF  Msj Con Familiar;5394.91;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;12660.4;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;8;MCF  Msj Con Familiar;13508.1;BT;2012;CNE;0
>10;0;<24, 48];Febrero;0;0;15;PDP  Promesa De Pago;3890.04;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;203.24;299.11;9;PDP  Promesa De Pago;8636.16;BT;2013;CEF;1
<=10;0;>48;Febrero;0;0;10;MCT  Msj Con Terceros;12431.1;BT;2013;CNE;0
<=10;0;<=24;Febrero;454.93;453.54;7;MCT  Msj Con Terceros;2199.64;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;17;MCT  Msj Con Terceros;15579.4;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;13;MCT  Msj Con Terceros;4920.82;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;13;TELF. NO CORRESPONDE;5902.43;BT;2011;CNE;1
<=10;0;>48;Febrero;0;0;7;PDP  Promesa De Pago;8639.27;BT;2013;CEF;1
<=10;1;<24, 48];Febrero;933.01;0;12;PAR  Promesa Parcial;5615.33;BT;2012;CEF;0
<=10;0;<24, 48];Febrero;560.75;822.68;11;MCO  Msj Con Conyuge;16809.7;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;998.39;0;11;TELF. NO CORRESPONDE;6600.45;BT;2013;CNE;0
<=10;0;>48;Febrero;448.92;555.23;11;MCT  Msj Con Terceros;22244.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;6913.45;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;645.43;13;MCT  Msj Con Terceros;2081.69;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;208.83;118.99;9;PAR  Promesa Parcial;4181.68;BT;2012;CEF;0
>10;0;<24, 48];Febrero;0.29;229.87;15;MCF  Msj Con Familiar;3418.11;BT;2012;CNE;1
<=10;0;<=24;Febrero;312.18;361.39;11;PDP  Promesa De Pago;2116.15;BT;2013;CEF;1
<=10;0;<=24;Febrero;1574.34;1574.34;7;MCT  Msj Con Terceros;5536.67;BT;2013;CNE;0
<=10;1;>48;Febrero;0;0;19;CAN  Cliente Cancelo;17059.2;BT;2013;CNE;1
>10;0;<=24;Febrero;9.99;245.14;7;MCT  Msj Con Terceros;3251.98;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;120.08;9;MCC  Msj Con Comp De Trab;2937.24;BT;2012;CNE;1
<=10;0;<=24;Febrero;473.58;474.36;8;PDP  Promesa De Pago;7689.07;BT;2013;CEF;1
<=10;0;>48;Febrero;51.59;42.25;8;MCT  Msj Con Terceros;10269.7;BT;2012;CNE;1
<=10;0;<=24;Febrero;0;0;11;PDP  Promesa De Pago;1212.35;BT;2012;CEF;1
>10;0;<24, 48];Febrero;128.86;0;8;MCC  Msj Con Comp De Trab;1557.7;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;130.49;13;MCT  Msj Con Terceros;2340.19;BT;2011;CNE;0
<=10;0;>48;Febrero;0;361.28;8;PDP  Promesa De Pago;9348.62;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;621.99;618.03;7;MCT  Msj Con Terceros;19820.6;BT;2013;CNE;1
>10;0;<24, 48];Febrero;246.65;0;9;MCT  Msj Con Terceros;1343.76;BT;2011;CNE;1
<=10;0;<=24;Febrero;0;0;7;MCF  Msj Con Familiar;1636.79;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;615.15;0;8;PDP  Promesa De Pago;15581;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;14;MCT  Msj Con Terceros;5239.3;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;MCT  Msj Con Terceros;3882.58;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;320.34;0;11;MCT  Msj Con Terceros;9323.55;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;7;MCF  Msj Con Familiar;1132.58;BT;2011;CNE;1
<=10;0;>48;Febrero;0;0;18;MCF  Msj Con Familiar;6289.91;BT;2013;CNE;0
<=10;0;>48;Febrero;0;0;8;PDP  Promesa De Pago;21027.4;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;867.38;851.74;16;MCT  Msj Con Terceros;27592.3;BT;2013;CNE;1
>10;0;<24, 48];Febrero;207.5;207.76;19;MCT  Msj Con Terceros;2306.13;BT;2012;CNE;1
>10;0;<24, 48];Febrero;0;187.43;14;TELF. NO CORRESPONDE;2186.82;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;1732.19;2616.68;15;MCT  Msj Con Terceros;23995.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;422.7;583.47;11;TELF. NO CORRESPONDE;17642.8;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;251.21;269.03;14;MCT  Msj Con Terceros;7469.56;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;194.44;0;14;RPP  Recordar Promesa;4869.14;BT;2013;CEF;1
>10;0;<24, 48];Febrero;0;232.8;11;MCT  Msj Con Terceros;2378.83;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;391.89;655.44;8;PDP  Promesa De Pago;4697.11;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;13;TELF. NO CORRESPONDE;8288.3;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;535.71;0;7;CIT  Genera Cita Otro Dia;4768.58;BT;2013;CNE;0
<=10;0;<=24;Febrero;0;0;8;TELF. NO CORRESPONDE;2645.26;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;20;PDP  Promesa De Pago;614.7;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;14;MCT  Msj Con Terceros;23216.1;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;0;12;MCT  Msj Con Terceros;18457.4;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0;40.1;16;MCC  Msj Con Comp De Trab;3128.04;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;346.29;571.11;7;TELF. NO CORRESPONDE;4492.9;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;804.68;1064.12;15;TELF. NO CORRESPONDE;20560.1;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;9.92;116.5;15;TELF. NO CORRESPONDE;12743.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;391.09;9;MCF  Msj Con Familiar;22281.2;BT;2013;CNE;1
>10;0;<24, 48];Febrero;1077.78;0;10;MCT  Msj Con Terceros;9356.32;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;257.92;260.42;15;MCT  Msj Con Terceros;4968.28;BT;2013;CNE;1
>10;0;>48;Febrero;0;0;19;TELF. NO CORRESPONDE;7069.27;BT;2011;CNE;0
<=10;0;<24, 48];Febrero;670.13;298.74;16;PDP  Promesa De Pago;21419.1;BT;2013;CEF;1
<=10;0;<=24;Febrero;254.88;255.82;17;MCT  Msj Con Terceros;4265.9;BT;2013;CNE;0
<=10;1;<24, 48];Febrero;263.36;257.38;9;TAT  Tratamiento al Titu;5920.79;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;8;PDP  Promesa De Pago;17386.9;BT;2013;CEF;1
<=10;0;>48;Febrero;833.4;0;12;TAT sin contacto con Titular;24527.1;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;20;MCF  Msj Con Familiar;638.12;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;1205.91;604.61;12;MCF  Msj Con Familiar;12761;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;612.69;612.69;13;MCF  Msj Con Familiar;5179.02;BT;2013;CNE;0
>10;0;<24, 48];Febrero;1176.73;1191.79;12;TELF. NO CORRESPONDE;3584.84;BT;2011;CNE;1
<=10;0;<=24;Febrero;165.44;165.01;10;MCT  Msj Con Terceros;1216.07;BT;2012;CNE;1
>10;0;<24, 48];Febrero;596.98;899.58;15;MCF  Msj Con Familiar;4292.29;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;71.47;0;14;MCT  Msj Con Terceros;3995.21;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;266.36;533.52;15;PDP  Promesa De Pago;5041.86;BT;2013;CEF;1
>10;0;>48;Febrero;0;0;15;MCF  Msj Con Familiar;12087.6;BT;2012;CNE;0
<=10;0;<=24;Febrero;680.94;0;11;TELF. NO CORRESPONDE;2595.92;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;201.21;7;MCT  Msj Con Terceros;4673.63;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;17.72;12;TELF. NO CORRESPONDE;3953.36;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;16;MCF  Msj Con Familiar;16699.6;BT;2012;CNE;0
<=10;0;<=24;Febrero;29.28;38.74;11;MCF  Msj Con Familiar;3974.5;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;808.2;1081.01;16;TELF. NO CORRESPONDE;4903.1;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;82.17;0;9;MCT  Msj Con Terceros;3977.7;BT;2012;CNE;0
>10;0;>48;Febrero;0;115.55;14;TELF. NO CORRESPONDE;4074.1;BT;2011;CNE;1
<=10;0;<=24;Febrero;111.82;497.48;10;MCF  Msj Con Familiar;1582.12;BT;2013;CNE;1
<=10;1;<=24;Febrero;498.04;0;11;PAR  Promesa Parcial;3704.74;BT;2013;CEF;0
<=10;0;<=24;Febrero;118.41;118.35;11;MCT  Msj Con Terceros;1549.94;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;198.4;272.99;10;MCT  Msj Con Terceros;18168.9;BT;2013;CNE;1
>10;0;<24, 48];Febrero;204.93;410.2;10;TELF. NO CORRESPONDE;3304.33;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;3650.98;5486;14;MCT  Msj Con Terceros;41871;BT;2014;CNE;1
>10;0;<24, 48];Febrero;292.43;293.91;20;TELF. NO CORRESPONDE;5194.76;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;238.2;0;11;TAT  Tratamiento al Titu;5593.22;BT;2013;CEF;1
<=10;0;>48;Febrero;4.5;612.77;10;MCF  Msj Con Familiar;15626.1;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;9;TELF. NO CORRESPONDE;13405.9;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;7;MCT  Msj Con Terceros;11048.7;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;256.3;0.52;8;MCT  Msj Con Terceros;4398.41;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;18;CIH  Generar Cita;41351.2;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0.04;15.68;12;MCT  Msj Con Terceros;9392.03;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;2217.14;0;11;TAT  Tratamiento al Titu;22072.3;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;15;MCT  Msj Con Terceros;13122.7;BT;2012;CNE;1
<=10;0;<=24;Febrero;167.45;0;8;CIH  Generar Cita;1110.58;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;15;MCC  Msj Con Comp De Trab;773.88;BT;2013;CNE;0
<=10;0;>48;Febrero;452.18;893.14;10;PAR  Promesa Parcial;10199.5;BT;2013;CEF;1
<=10;0;<=24;Febrero;423.49;136.55;14;MCT  Msj Con Terceros;1695.6;BT;2013;CNE;0
<=10;0;>48;Febrero;3076.23;0;16;MCT  Msj Con Terceros;24640;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;0.56;354.88;9;TELF. NO CORRESPONDE;8559.47;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;427.19;626.32;9;MCF  Msj Con Familiar;4900.87;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;211.07;12;PDP  Promesa De Pago;2580.73;BT;2012;CEF;1
<=10;0;<=24;Febrero;0;0;7;PDP  Promesa De Pago;930.09;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;19;TAT  Tratamiento al Titu;13981.2;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;465.78;937.38;16;TELF. NO CORRESPONDE;8901.47;BT;2013;CNE;1
<=10;0;<=24;Febrero;148.79;154.16;20;TELF. NO CORRESPONDE;1206.8;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;15;MCE  Msj Con Empleada;19452;BT;2013;CNE;0
<=10;0;<=24;Febrero;0;0;10;MCT  Msj Con Terceros;11189.2;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;15;PDP  Promesa De Pago;7563.42;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;15;MCT  Msj Con Terceros;16163.4;BT;2013;CNE;0
<=10;0;<=24;Febrero;0;0;7;TELF. NO CORRESPONDE;2544.7;BT;2012;CNE;1
<=10;0;>48;Febrero;567.69;567.81;8;MCT  Msj Con Terceros;21954.6;BT;2013;CNE;1
<=10;0;<=24;Febrero;0;0;10;MCT  Msj Con Terceros;2616.09;BT;2014;CNE;1
<=10;0;<=24;Febrero;0;0;11;TELF. NO CORRESPONDE;1761.15;BT;2013;CNE;0
<=10;0;>48;Febrero;0;0;14;TELF. NO CORRESPONDE;9889.94;BT;2013;CNE;0
<=10;0;>48;Febrero;42.32;0;16;MCT  Msj Con Terceros;9440.93;BT;2013;CNE;1
